Date,City,Latitude,Longitude,Temperature (°C),Weather,Panel Type,Mount Type,Tilt (°),Panel Efficiency (%),Solar Irradiance (kWh/m²/day),Output Power (W),Estimated Daily Output (kWh)
1/8/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/8/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/8/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/8/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/9/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/9/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/9/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/9/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/9/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/9/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/10/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/10/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/10/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/10/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/10/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/10/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/11/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/11/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/11/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/11/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/11/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/11/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/12/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/12/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/12/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/12/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/12/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/12/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/13/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/13/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/13/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/13/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/13/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/13/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/14/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/14/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/14/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/14/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/14/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/14/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/15/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/15/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/15/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/15/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/15/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/15/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/16/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/16/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/16/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/16/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/16/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/16/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/17/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/17/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/17/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/17/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/17/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/17/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/18/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/18/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/18/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/18/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/18/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/18/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/19/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/19/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/19/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/19/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/19/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/19/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/20/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/20/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/20/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/20/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/20/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/20/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/21/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/21/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/21/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/21/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/21/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/21/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/22/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/22/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/22/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/22/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/22/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/22/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/23/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/23/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/23/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/23/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/23/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/23/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/24/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/24/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/24/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/24/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/24/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/24/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/25/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/25/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/25/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/25/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/25/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/25/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/26/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/26/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/26/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/26/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/26/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/26/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/27/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/27/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/27/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/27/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/27/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/27/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/28/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/28/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/28/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/28/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/28/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/28/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/29/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/29/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/29/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/29/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/29/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/29/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/30/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/30/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/30/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/30/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/30/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/30/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
1/31/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Rooftop,25,22,5.39,1.9,21.06
1/31/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Rooftop,25,18,5.39,1.55,21.06
1/31/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Rooftop,25,12,5.39,1.04,21.06
1/31/2024,Riyadh,24.7136,46.6753,18,few clouds,Monocrystalline,Ground,15,22,4.97,1.75,19.47
1/31/2024,Riyadh,24.7136,46.6753,18,few clouds,Polycrystalline,Ground,15,18,4.97,1.43,19.47
1/31/2024,Riyadh,24.7136,46.6753,18,few clouds,Thin-Film,Ground,15,12,4.97,0.96,19.47
2/1/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/1/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/1/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/1/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/1/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
2/1/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Ground,15,12,5.89,1.13,21.77
2/2/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/2/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/2/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/2/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/2/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
2/2/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Ground,15,12,5.89,1.13,21.77
2/3/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/3/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/3/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/3/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/3/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
2/3/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Ground,15,12,5.89,1.13,21.77
2/4/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/4/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/4/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/4/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/4/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
2/4/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Ground,15,12,5.89,1.13,21.77
2/5/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/5/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/5/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/5/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/5/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
2/5/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Ground,15,12,5.89,1.13,21.77
2/6/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/6/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/6/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/6/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/6/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
2/6/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Ground,15,12,5.89,1.13,21.77
2/7/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/7/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/7/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/7/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/7/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
2/7/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Ground,15,12,5.89,1.13,21.77
2/8/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Rooftop,25,22,6.24,2.2,23.02
2/8/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Rooftop,25,18,6.24,1.8,23.02
2/8/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Thin-Film,Rooftop,25,12,6.24,1.2,23.02
2/8/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Monocrystalline,Ground,15,22,5.89,2.07,21.77
2/8/2024,Riyadh,24.7136,46.6753,20,scattered clouds,Polycrystalline,Ground,15,18,5.89,1.7,21.77
